image,truth,easyocr:original,easyocr:gray,easyocr:gray_clahe,easyocr:gray_bilateral,easyocr:gray_median3,easyocr:gray_gauss3,easyocr:unsharp,easyocr:thresh_otsu,easyocr:thresh_adapt_mean,easyocr:thresh_adapt_gauss,easyocr:morph_open,easyocr:morph_close,easyocr:gamma_0.8,easyocr:gamma_1.2,easyocr:contrast_up,easyocr:bright_up,easyocr:denoise,easyocr:upscale_2x,easyocr:upscale_3x,pytesseract:original,pytesseract:gray,pytesseract:clahe,pytesseract:otsu,pytesseract:adapt_mean,pytesseract:adapt_gauss,pytesseract:gamma_0.8,pytesseract:gamma_1.2,pytesseract:contrast_up,pytesseract:bright_up,pytesseract:upscale_2x,paddleocr:original,paddleocr:gray,paddleocr:gray_clahe,paddleocr:gray_bilateral,paddleocr:gray_median3,paddleocr:gray_gauss3,paddleocr:unsharp,paddleocr:thresh_otsu,paddleocr:thresh_adapt_mean,paddleocr:thresh_adapt_gauss,paddleocr:morph_open,paddleocr:morph_close,paddleocr:gamma_0.8,paddleocr:gamma_1.2,paddleocr:contrast_up,paddleocr:bright_up,paddleocr:denoise,paddleocr:upscale_2x,paddleocr:upscale_3x,openai_vision:upscale_2x
429.png,KPA9789,7,7,7,7,7,6,7,5,7,7,7,7,7,7,7,5,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,1,2,7,7,1,2,3,4,1,7,2,7,1,1,4,2,1,1,21
46.png,OQR779,16,16,17,17,16,17,16,17,16,17,16,16,17,16,17,16,17,18,17,21,18,13,17,85,261,5,17,18,16,23,16,16,17,17,17,17,16,17,17,18,17,18,17,18,16,17,17,19,19,20
47.png,KPA9789,13,13,14,13,13,13,13,12,14,16,13,11,14,12,14,11,12,13,16,2,13,10,14,7,14,3,3,2,0,11,14,14,14,15,14,14,14,14,16,15,14,14,15,14,14,15,14,15,15,0
5.png,OMF1647,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,6,6,0,2,6,6,6,1,2,1,6,6,6,6,6,1,6,6,6,0
50.png,KDAZ700,16,15,14,16,16,14,16,13,18,12,15,16,17,13,13,13,13,13,14,22,22,23,23,12,7,24,23,20,20,21,18,12,12,14,17,12,16,16,11,21,13,17,13,12,15,16,12,15,16,0
51.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19
55.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
59.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
6.png,HNX7945,0,0,0,1,0,0,0,2,0,1,0,1,1,1,1,1,0,0,0,7,7,4,7,1,0,0,3,1,7,7,7,7,7,7,7,7,7,0,0,0,7,7,7,7,0,7,7,7,7,0
60.png,MHM5297,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,8,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
61.png,HJR9304,0,0,0,0,0,0,0,5,1,0,0,3,0,0,6,0,3,0,0,2,6,1,6,7,2,5,3,7,1,2,0,0,0,0,0,0,0,6,0,0,0,7,0,0,1,0,0,0,0,0
62.png,HET6663,1,3,2,4,4,4,3,3,2,1,3,3,4,3,2,2,2,1,2,4,4,2,4,3,3,7,4,4,4,4,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,0
65.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
66.png,BRB427A,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,0
77.png,HLP34DZ,6,3,4,5,4,4,2,7,7,7,3,4,7,6,2,6,7,6,6,7,7,7,7,7,6,7,7,7,7,7,5,5,2,5,2,7,5,7,5,4,2,2,7,2,2,2,7,2,2,0
82.png,QPO0716,2,2,2,2,2,2,2,4,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,5,3,1,1,1,1,2,5,5,7,6,5,5,3,2,2,2,5,5,5,3,3,5,5,6,6,0
84.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
9.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
